atom_id,uc_id,type,FeO_coord,threshold,is_surface_after_pbc,n_pbc_uc,total_interactions,excluded_due_to_pbc,x,y,z
2007,0,FeA,0,4,0,24,0,0,17.7,38.94,63.72
2008,0,FeA,0,4,0,24,0,0,21.24,38.94,63.72
2009,0,FeA,0,4,0,24,0,0,24.78,38.94,63.72
2010,0,FeA,0,4,0,24,0,0,28.32,38.94,63.72
2011,0,FeA,0,4,0,24,0,0,31.86,38.94,63.72
2012,0,FeA,0,4,0,24,0,0,35.4,38.94,63.72
2013,0,FeA,0,4,0,24,0,0,38.94,38.94,63.72
2014,0,FeA,0,4,0,24,0,0,42.48,38.94,63.72
2015,0,FeA,0,4,0,24,0,0,46.02,38.94,63.72
2016,0,FeA,0,4,0,24,0,0,49.56,38.94,63.72
2017,0,FeA,0,4,0,24,0,0,53.1,38.94,63.72
2018,0,FeA,0,4,0,24,0,0,56.64,38.94,63.72
2019,0,FeA,0,4,0,24,0,0,60.18,38.94,63.72
2020,0,FeA,0,4,0,24,0,0,63.72,38.94,63.72
2021,0,FeA,0,4,0,24,0,0,67.26,38.94,63.72
2022,0,FeA,0,4,0,24,0,0,70.8,38.94,63.72
2023,0,FeA,0,4,0,24,0,0,74.34,38.94,63.72
2024,0,FeA,0,4,0,24,0,0,0,38.94,67.26
2025,0,FeA,0,4,0,24,0,0,3.54,38.94,67.26
2026,0,FeA,0,4,0,24,0,0,7.08,38.94,67.26
2027,0,FeA,0,4,0,24,0,0,10.62,38.94,67.26
2028,0,FeA,0,4,0,24,0,0,14.16,38.94,67.26
2029,0,FeA,0,4,0,24,0,0,17.7,38.94,67.26
2030,0,FeA,0,4,0,24,0,0,21.24,38.94,67.26
2031,0,FeA,0,4,0,24,0,0,24.78,38.94,67.26
2032,0,FeA,0,4,0,24,0,0,28.32,38.94,67.26
2033,0,FeA,0,4,0,24,0,0,31.86,38.94,67.26
2034,0,FeA,0,4,0,24,0,0,35.4,38.94,67.26
2035,0,FeA,0,4,0,24,0,0,38.94,38.94,67.26
2036,0,FeA,0,4,0,24,0,0,42.48,38.94,67.26
2037,0,FeA,0,4,0,24,0,0,46.02,38.94,67.26
2038,0,FeA,0,4,0,24,0,0,49.56,38.94,67.26
2039,0,FeA,0,4,0,24,0,0,53.1,38.94,67.26
2040,0,FeA,0,4,0,24,0,0,56.64,38.94,67.26
2041,0,FeA,0,4,0,24,0,0,60.18,38.94,67.26
2042,0,FeA,0,4,0,24,0,0,63.72,38.94,67.26
2043,0,FeA,0,4,0,24,0,0,67.26,38.94,67.26
2044,0,FeA,0,4,0,24,0,0,70.8,38.94,67.26
2045,0,FeA,0,4,0,24,0,0,74.34,38.94,67.26
2046,0,FeA,0,4,0,24,0,0,0,38.94,70.8
2047,0,FeA,0,4,0,24,0,0,3.54,38.94,70.8
2048,0,FeA,0,4,0,24,0,0,7.08,38.94,70.8
2049,0,FeA,0,4,0,24,0,0,10.62,38.94,70.8
2050,0,FeA,0,4,0,24,0,0,14.16,38.94,70.8
2051,0,FeA,0,4,0,24,0,0,17.7,38.94,70.8
2052,0,FeA,0,4,0,24,0,0,21.24,38.94,70.8
2053,0,FeA,0,4,0,24,0,0,24.78,38.94,70.8
2054,0,FeA,0,4,0,24,0,0,28.32,38.94,70.8
2055,0,FeA,0,4,0,24,0,0,31.86,38.94,70.8
2056,0,FeA,0,4,0,24,0,0,35.4,38.94,70.8
2057,0,FeA,0,4,0,24,0,0,38.94,38.94,70.8
2058,0,FeA,0,4,0,24,0,0,42.48,38.94,70.8
